Account,trade_date,sentiment_binary,daily_pnl,avg_pnl_per_trade,pnl_volatility,num_trades,total_volume,avg_trade_size,total_fees,buy_ratio,win_rate,net_pnl,volume_segment,frequency_segment,performance_segment
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-11,Greed,0.0,0.0,0.0,177,900880.13,5089.718248587571,167.796055,0.0,0.0,-167.796055,High Volume,Infrequent,Inconsistent
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-17,Greed,0.0,0.0,0.0,68,542413.1799999999,7976.664411764705,67.883615,0.0,0.0,-67.883615,High Volume,Infrequent,Inconsistent
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-18,Greed,0.0,0.0,0.0,40,949380.0,23734.5,94.93798300000002,0.0,0.0,-94.93798300000002,High Volume,Infrequent,Inconsistent
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-22,Greed,-21227.0,-1768.9166666666667,1526.1783793454342,12,338240.0,28186.666666666668,33.823995,1.0,0.0,-21260.823995,High Volume,Infrequent,Inconsistent
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-26,Greed,1603.1,59.37407407407407,172.31681367375162,27,465700.0,17248.14814814815,104.62249,0.4444444444444444,0.4444444444444444,1498.47751,High Volume,Infrequent,Inconsistent
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-28,Greed,-132271.0,-1613.060975609756,2491.5845458943427,82,1316799.98,16058.536341463414,131.679967,1.0,0.0,-132402.679967,High Volume,Infrequent,Inconsistent
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-30,Greed,0.0,0.0,0.0,23,1116918.77,48561.68565217392,390.921553,0.0,0.0,-390.921553,High Volume,Infrequent,Inconsistent
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-12-06,Greed,-175611.00005600002,-5321.545456242425,20673.809229281236,33,1212299.96,36736.36242424243,121.229992,1.0,0.0,-175732.23004800003,High Volume,Infrequent,Inconsistent
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-01-19,Greed,71393.964098,153.53540666236557,1050.3440755978172,465,5306093.62,11410.954021505377,780.33644,0.24086021505376345,0.04946236559139785,70613.627658,High Volume,Infrequent,Inconsistent
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-01-20,Greed,40218.599998,788.5999999607843,2175.1372102662936,51,479429.99,9400.588039215687,23.971493,0.5490196078431373,0.5490196078431373,40194.628505,High Volume,Infrequent,Inconsistent
